epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1175.03,1.03396,1.51838,1.30526,0.44871,0.48723,0.44855,0.31302,1.17714,1.77121,1.41532,6.1152e-05,6.1152e-05,6.1152e-05
42,1208.65,1.01056,1.42826,1.28896,0.42953,0.48657,0.44466,0.30781,1.17651,1.81089,1.41153,5.53308e-05,5.53308e-05,5.53308e-05
43,1241.69,1.00681,1.40248,1.29023,0.41888,0.48507,0.44445,0.30973,1.18397,1.7852,1.40367,4.95096e-05,4.95096e-05,4.95096e-05
44,1268.29,0.99942,1.38898,1.27881,0.43119,0.49805,0.44698,0.31277,1.17822,1.8074,1.41011,4.36884e-05,4.36884e-05,4.36884e-05
45,1292.88,0.99,1.36242,1.27425,0.42187,0.48449,0.44187,0.30995,1.1826,1.81455,1.41288,3.78672e-05,3.78672e-05,3.78672e-05
46,1323.71,0.97513,1.34851,1.27464,0.44591,0.47681,0.44411,0.30946,1.17933,1.81219,1.41399,3.2046e-05,3.2046e-05,3.2046e-05
47,1357.08,0.98038,1.31274,1.2657,0.45638,0.48396,0.46033,0.3236,1.18429,1.79231,1.41562,2.62248e-05,2.62248e-05,2.62248e-05
48,1390.74,0.97973,1.31439,1.27087,0.44588,0.5037,0.45634,0.32035,1.17752,1.78597,1.40818,2.04036e-05,2.04036e-05,2.04036e-05
49,1421.91,0.97457,1.28681,1.2583,0.4656,0.48377,0.45227,0.31401,1.1809,1.79536,1.41225,1.45824e-05,1.45824e-05,1.45824e-05
50,1455.58,0.96945,1.26781,1.25155,0.46811,0.48738,0.4581,0.32088,1.18017,1.79058,1.40824,8.7612e-06,8.7612e-06,8.7612e-06
